dataset,generator,variant,verifier_variant,method,vehicles,distance,feasible,violations,runtime,typed_feedback,action_rules,route_elimination_called,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
R210,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,5,1165.178909,True,0,13.129376,False,False,False,3,939.37,2,24.038335,False,SINTEF VRPTW 100 customers
R210,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,4,1077.880109,True,0,5.539501,True,True,True,3,939.37,1,14.745000,False,SINTEF VRPTW 100 customers
R210,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,5,1165.178909,True,0,13.161202,True,False,False,3,939.37,2,24.038335,False,SINTEF VRPTW 100 customers
R211,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,4,985.182879,True,0,4.353632,False,False,False,2,885.71,2,11.230863,False,SINTEF VRPTW 100 customers
R211,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,3,1046.083378,True,0,2.181399,True,True,True,2,885.71,1,18.106759,False,SINTEF VRPTW 100 customers
R211,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,4,985.182879,True,0,4.353074,True,False,False,2,885.71,2,11.230863,False,SINTEF VRPTW 100 customers
RC101,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,22,2363.674499,True,0,11.395581,False,False,False,14,1696.95,8,39.289578,False,SINTEF VRPTW 100 customers
RC101,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,18,2057.430411,True,0,4.749574,True,True,True,14,1696.95,4,21.242842,False,SINTEF VRPTW 100 customers
RC101,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,22,2363.674499,True,0,11.411491,True,False,False,14,1696.95,8,39.289578,False,SINTEF VRPTW 100 customers
RC102,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,17,2022.252999,True,0,11.713784,False,False,False,12,1554.75,5,30.069336,False,SINTEF VRPTW 100 customers
