dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
RC204,greedy_insertion,4,1434.174241,3,1092.594400,True,0,12.559108,3,798.46,0,36.837713,True,SINTEF VRPTW 100 customers
RC204,nearest_neighbor,7,1361.201627,3,1026.073685,True,0,0.014035,3,798.46,0,28.506586,True,SINTEF VRPTW 100 customers
RC204,regret_insertion,4,2490.187748,4,2274.265905,True,0,8.168000,3,798.46,1,184.831539,False,SINTEF VRPTW 100 customers
RC205,greedy_insertion,5,2159.620220,5,1600.312514,True,0,10.534244,4,1297.65,1,23.323894,False,SINTEF VRPTW 100 customers
RC205,nearest_neighbor,15,2567.284479,5,1562.642528,True,0,0.027051,4,1297.65,1,20.420955,False,SINTEF VRPTW 100 customers
RC205,regret_insertion,6,3609.030301,6,2258.063098,True,0,7.809420,4,1297.65,2,74.011721,False,SINTEF VRPTW 100 customers
RC206,greedy_insertion,4,1923.084254,4,1502.185871,True,0,11.130380,3,1146.32,1,31.044200,False,SINTEF VRPTW 100 customers
RC206,nearest_neighbor,9,1820.945295,4,1670.538251,True,0,0.023041,3,1146.32,1,45.730533,False,SINTEF VRPTW 100 customers
RC206,regret_insertion,6,3495.259450,5,2692.265827,True,0,7.890723,3,1146.32,2,134.861629,False,SINTEF VRPTW 100 customers
RC207,greedy_insertion,4,1876.854240,4,1456.524273,True,0,11.277965,3,1061.14,1,37.260331,False,SINTEF VRPTW 100 customers
RC207,nearest_neighbor,10,1981.100788,4,1573.719939,True,0,0.021871,3,1061.14,1,48.304648,False,SINTEF VRPTW 100 customers
RC207,regret_insertion,5,3024.260928,5,2051.235398,True,0,8.187730,3,1061.14,2,93.304879,False,SINTEF VRPTW 100 customers
RC208,greedy_insertion,3,1390.439219,3,1215.093054,True,0,12.489406,3,828.14,0,46.725560,True,SINTEF VRPTW 100 customers
RC208,nearest_neighbor,5,1395.020586,3,1248.767690,True,0,0.019951,3,828.14,0,50.791858,True,SINTEF VRPTW 100 customers
RC208,regret_insertion,5,2893.838484,5,1609.496598,True,0,8.266344,3,828.14,2,94.350786,False,SINTEF VRPTW 100 customers
